Response_ID,Customer_Name,Age,Country,Overall_Satisfaction,Recommendation_Score,Music_Variety,Podcast_Availability,Pricing,App_Performance,Device_Used,Usage_Frequency,Wants_Customization,Additional_Feedback
88,Alvin Jimenez,59,Tanzania,4,7,4,5,Too Expensive,4,Other,Daily,Yes,
89,Heather Martinez,55,Italy,1,8,1,3,Fair,2,Desktop,Daily,Yes,Scene culture view girl.
90,Marcus Ali,47,Guam,5,6,4,4,Fair,2,Smart Speaker,Daily,Yes,Quite campaign decide air.
91,Raven Blackburn,30,Korea,4,4,4,2,Fair,1,Mobile,Weekly,No,
92,Dawn Murphy,48,Saint Kitts and Nevis,5,5,2,3,Fair,4,Mobile,Daily,No,
93,Shelby Day,44,Korea,1,4,5,5,Fair,2,Mobile,Daily,Yes,
94,Carrie Myers,31,Burkina Faso,1,3,4,2,Fair,4,Mobile,Daily,Yes,
95,Antonio Clark,23,Albania,3,2,2,5,Too Expensive,4,Desktop,Daily,Yes,Color responsibility power prevent set what.
96,Adam Williams,43,Timor-Leste,3,3,3,4,Cheap,1,Smart Speaker,Daily,No,
97,Michelle Miranda,28,French Guiana,4,8,2,3,Fair,4,Mobile,Weekly,Yes,Oil none training present.
98,Robyn Oneal,49,Jersey,4,1,2,1,Too Expensive,1,Desktop,Daily,No,
99,Timothy Taylor,44,Burkina Faso,2,6,3,2,Fair,2,Desktop,Weekly,Yes,Cover scientist let produce heart.
100,Karen Boone,21,Thailand,1,10,2,1,Too Expensive,5,Desktop,Daily,Yes,Power per thought win.
101,Michelle Garcia,37,Malta,3,9,4,5,Fair,2,Desktop,Weekly,No,Great allow already deep as pay.
102,Roger Foster,28,Qatar,2,8,3,5,Fair,1,Mobile,Daily,Yes,Without hand rich opportunity budget spring.
103,Jennifer Jones,49,Qatar,4,1,1,5,Fair,5,Mobile,Daily,Yes,Or movement student wear happy.
104,Amber Garcia,44,Bermuda,5,9,1,1,Fair,2,Mobile,Daily,Yes,
105,Kathryn Martinez,29,Zimbabwe,1,9,1,1,Too Expensive,3,Desktop,Daily,Yes,Produce behind financial benefit.
106,Jason Hernandez,27,Guam,2,9,5,3,Fair,2,Smart Speaker,Daily,Yes,
107,Anthony Thompson,48,Guinea-Bissau,3,7,2,2,Fair,3,Mobile,Daily,Yes,
108,David Patel,30,Somalia,4,0,5,1,Too Expensive,2,Desktop,Daily,Yes,
109,Valerie Dominguez,28,Trinidad and Tobago,2,0,1,2,Fair,2,Smart Speaker,Daily,No,Design specific top question employee recognize.
110,Mark Hayes,39,Namibia,5,10,4,3,Fair,4,Mobile,Daily,Yes,Instead direction decide role where.
111,Kevin Rogers,47,Montserrat,1,8,5,4,Cheap,3,Mobile,Weekly,No,Success American him into actually land.
112,Robert Mitchell,36,Moldova,5,1,3,5,Fair,4,Mobile,Daily,Yes,Easy long where tree concern other human.
113,John Miller,25,Nigeria,1,5,2,3,Too Expensive,5,Mobile,Weekly,No,
114,Luis Trujillo,42,Montenegro,5,3,1,5,Too Expensive,1,Mobile,Weekly,Yes,
115,Morgan Baker,18,Cook Islands,1,9,3,2,Fair,4,Mobile,Weekly,Yes,Painting huge for wish voice.
116,Guy Acosta,34,Libyan Arab Jamahiriya,4,3,4,2,Fair,4,Mobile,Daily,Yes,Policy hundred phone send wrong seek fight over.
117,Kayla Sullivan,39,Uzbekistan,3,2,5,4,Fair,4,Mobile,Weekly,No,
118,Jason Mclaughlin,37,Niger,1,1,2,3,Too Expensive,1,Mobile,Daily,No,
119,Leslie Miller,33,Mayotte,5,3,4,5,Too Expensive,1,Mobile,Weekly,Yes,Another continue school cultural dog item identify.
120,Michelle Armstrong,37,Guam,3,8,5,1,Too Expensive,4,Desktop,Daily,No,Long article price before strategy else.
121,Kim George,43,United Kingdom,2,0,3,5,Cheap,2,Mobile,Daily,Yes,
122,Anne Williams,47,Azerbaijan,1,6,2,2,Too Expensive,1,Mobile,Weekly,Yes,
123,Katelyn Harris,58,Norfolk Island,3,6,3,1,Too Expensive,1,Desktop,Daily,No,
124,Anna White,18,Somalia,2,6,3,3,Too Expensive,5,Mobile,Daily,Yes,
125,Mr. John Smith,47,Russian Federation,2,6,4,2,Too Expensive,5,Mobile,Daily,Yes,
126,Melissa Jackson,52,Rwanda,4,10,2,3,Fair,4,Desktop,Daily,Yes,Likely trial bed fact election you card.
127,Katie Adams,33,Puerto Rico,5,2,4,2,Too Expensive,4,Mobile,Daily,Yes,
128,Daniel Chandler,56,British Indian Ocean Territory (Chagos Archipelago),4,6,3,1,Too Expensive,5,Other,Daily,Yes,Program collection individual heart eye yard.
129,Robert Martinez,59,Kuwait,4,6,1,2,Fair,2,Mobile,Daily,No,
130,Peter Oliver,20,Zimbabwe,1,6,3,2,Cheap,2,Desktop,Daily,Yes,
131,Amber Martinez,42,Equatorial Guinea,1,8,2,1,Fair,5,Mobile,Monthly,No,
132,Mr. John Lawrence,55,Singapore,1,2,3,5,Cheap,2,Mobile,Daily,Yes,
133,David Salazar MD,22,Sri Lanka,5,7,4,3,Fair,2,Desktop,Daily,Yes,
134,Chad Cunningham,22,Colombia,1,8,2,2,Fair,5,Mobile,Daily,No,
135,John Weber,19,French Polynesia,1,10,3,3,Fair,5,Desktop,Weekly,No,
136,Jeffrey Bentley,19,Saudi Arabia,1,7,1,5,Fair,3,Mobile,Daily,No,
137,Sandra Bradford,26,Nepal,1,5,1,2,Cheap,4,Mobile,Daily,No,
138,Elizabeth Ali,42,Ireland,5,8,5,1,Too Expensive,2,Desktop,Daily,Yes,
139,James Gutierrez,24,Guadeloupe,5,8,5,2,Fair,1,Mobile,Weekly,Yes,
140,Nicole Martinez,38,Isle of Man,5,10,5,4,Fair,2,Mobile,Weekly,Yes,
141,Lee Calderon DDS,31,United Kingdom,3,1,2,5,Fair,2,Mobile,Weekly,Yes,Piece while he stock here when significant.
142,Corey Smith,25,Fiji,3,10,1,3,Fair,4,Smart Speaker,Monthly,Yes,
143,Danielle Silva,43,Western Sahara,3,0,5,1,Fair,2,Mobile,Daily,Yes,
144,Casey Williams,59,Holy See (Vatican City State),2,1,4,3,Fair,4,Mobile,Weekly,Yes,
145,Tammy Reed,54,Isle of Man,2,5,1,3,Too Expensive,5,Mobile,Daily,No,
146,Eric Dillon,27,Kenya,4,0,1,3,Too Expensive,1,Desktop,Daily,No,Blue senior technology concern sound seek trade.
147,Michael Dixon,42,Algeria,5,2,1,3,Fair,5,Mobile,Rarely,No,
148,Megan Williams,33,Fiji,3,7,1,5,Too Expensive,3,Mobile,Daily,No,
149,Jason Price,48,Malawi,5,4,3,5,Cheap,4,Mobile,Daily,Yes,
150,Jacqueline Williams,23,Portugal,1,2,4,4,Too Expensive,1,Mobile,Daily,No,
151,Chad Alvarez,51,Tuvalu,5,2,3,1,Fair,5,Mobile,Weekly,Yes,
152,Tony Vaughan,34,Bhutan,1,1,5,1,Fair,1,Mobile,Daily,Yes,Free worry catch believe.
153,Samuel Stevenson,48,San Marino,3,9,4,5,Too Expensive,2,Desktop,Monthly,No,Again whatever brother good a part training.
154,James Davis,41,Puerto Rico,2,9,2,5,Too Expensive,1,Mobile,Rarely,Yes,Reach both tonight effect.
155,Jerry Hines,23,Togo,2,4,4,5,Fair,1,Mobile,Daily,No,
156,Michael Kim,56,United Kingdom,5,3,4,5,Fair,1,Mobile,Daily,No,
157,Amanda Peters,29,Japan,4,0,2,5,Fair,4,Mobile,Daily,No,
158,Kevin Henry,49,Slovakia (Slovak Republic),2,0,3,5,Fair,2,Mobile,Daily,Yes,
159,Michelle Benitez,45,Barbados,1,8,5,3,Fair,1,Mobile,Daily,No,American along commercial much even.
160,Mr. Jason Perry,46,Macao,3,6,5,2,Fair,5,Smart Speaker,Daily,Yes,
161,Brittany Clark,44,United Kingdom,5,6,2,5,Fair,1,Smart Speaker,Weekly,No,
162,Robert Hughes,23,United States Minor Outlying Islands,5,5,2,3,Fair,1,Desktop,Monthly,No,
163,Mary Mason,37,Puerto Rico,2,10,1,2,Too Expensive,4,Mobile,Weekly,Yes,Actually radio attack cover officer PM.
164,Anthony Hurley,36,Liberia,2,4,5,4,Fair,1,Mobile,Weekly,Yes,
165,Brittney Clark,26,Nauru,1,5,5,5,Fair,1,Mobile,Daily,No,Final rather more medical yeah focus.
166,Thomas Robinson,44,Saint Helena,4,6,4,5,Fair,2,Mobile,Daily,No,Call man war.
167,George Walker,30,Australia,5,4,1,1,Fair,4,Mobile,Daily,Yes,Possible body democratic nor safe.
168,Cindy Cox,48,Cote d'Ivoire,5,4,2,5,Cheap,4,Mobile,Daily,Yes,
169,Amy Lopez,56,Antigua and Barbuda,1,4,2,1,Fair,1,Mobile,Weekly,No,
170,Erin Pace MD,32,Djibouti,4,6,4,5,Fair,2,Mobile,Daily,No,
171,John Wu,48,Malaysia,5,3,4,4,Cheap,4,Mobile,Daily,Yes,
172,Randy Hall,19,Azerbaijan,4,10,3,1,Fair,1,Mobile,Weekly,No,
173,Robert Cohen,49,Saint Lucia,3,1,4,1,Fair,4,Mobile,Monthly,Yes,
174,Jennifer Liu,33,Antigua and Barbuda,1,9,4,5,Too Expensive,5,Desktop,Daily,Yes,
175,Dr. Whitney Allen,54,Philippines,3,9,4,5,Fair,1,Desktop,Weekly,Yes,Who dream behind.
176,David Sanchez,23,Mauritius,1,0,3,1,Fair,5,Other,Daily,Yes,
177,Candace Blake,47,North Macedonia,4,10,4,5,Cheap,2,Smart Speaker,Daily,No,
178,Jeffrey Harris,57,Saint Barthelemy,2,9,2,5,Fair,4,Desktop,Daily,Yes,
179,Ryan Green,20,Netherlands,4,9,5,3,Fair,4,Mobile,Daily,No,
180,David Page,23,Saint Kitts and Nevis,3,9,1,3,Fair,5,Mobile,Daily,No,
181,Jennifer Murphy,45,Maldives,4,10,3,1,Fair,4,Mobile,Daily,No,Church minute degree involve task.
182,Scott Williams,31,Kenya,5,0,1,3,Fair,3,Mobile,Weekly,Yes,
183,Johnny Payne,27,Bolivia,1,6,2,2,Fair,3,Mobile,Daily,Yes,Finally scientist article professional.
184,Stephanie Frederick,34,Barbados,2,0,4,2,Fair,4,Smart Speaker,Weekly,No,
185,Nancy Kennedy,35,Reunion,1,7,2,1,Too Expensive,3,Mobile,Daily,No,Pretty try life suggest hair then room.
186,Robert Proctor,56,Wallis and Futuna,3,7,5,2,Fair,2,Mobile,Daily,Yes,
187,James Estrada,52,Colombia,5,5,5,3,Too Expensive,5,Mobile,Daily,No,
188,Jonathan Cooke,42,Palestinian Territory,1,8,2,4,Too Expensive,1,Smart Speaker,Daily,Yes,
189,Robert Cook,37,Timor-Leste,5,9,2,5,Fair,1,Smart Speaker,Daily,No,
190,Karen Davis,33,Brunei Darussalam,2,9,5,4,Too Expensive,3,Mobile,Weekly,No,
191,Clinton Jones,45,Puerto Rico,5,10,3,3,Too Expensive,1,Desktop,Daily,Yes,
192,Shawn Hernandez,32,Congo,5,2,4,5,Too Expensive,2,Mobile,Daily,Yes,
193,Jamie Baker,38,Romania,5,5,2,5,Too Expensive,3,Smart Speaker,Daily,Yes,
194,Melissa Allen,25,Slovakia (Slovak Republic),4,2,4,3,Too Expensive,2,Mobile,Daily,Yes,
195,Edward Parker,59,Marshall Islands,2,5,2,5,Fair,1,Mobile,Daily,No,Civil few wonder decade quickly loss.
196,Brittany Johnson,40,Kazakhstan,4,10,3,3,Fair,2,Mobile,Rarely,Yes,
197,Mike Mays,44,Heard Island and McDonald Islands,4,9,5,3,Too Expensive,2,Mobile,Weekly,Yes,
198,Travis Stewart,38,Trinidad and Tobago,4,0,5,2,Fair,3,Mobile,Daily,Yes,
199,Whitney Wilson,57,Guam,2,0,1,5,Fair,1,Mobile,Daily,No,Drive good black company force scientist future.
200,Jennifer Hunt,39,Samoa,5,1,3,5,Fair,3,Mobile,Daily,Yes,
201,Vanessa Ward,27,Poland,4,8,3,1,Too Expensive,5,Mobile,Rarely,No,
202,Joseph Cook,37,United States Virgin Islands,3,0,3,4,Fair,5,Desktop,Daily,Yes,
203,Keith Molina,47,Western Sahara,5,8,3,4,Too Expensive,1,Desktop,Daily,No,
204,Ruth Morales,56,Netherlands,3,10,1,5,Fair,3,Desktop,Weekly,No,Mrs security up concern simply.
205,Martha Spears,38,Botswana,3,2,3,1,Fair,2,Mobile,Daily,No,
206,John David,54,Bolivia,4,0,2,5,Fair,1,Desktop,Weekly,Yes,
207,Stephanie Hodge,33,Hungary,5,2,2,3,Fair,1,Mobile,Daily,Yes,
208,Kristin Moore,32,United Arab Emirates,3,6,1,2,Fair,4,Mobile,Weekly,Yes,
209,Pamela Gray,35,Korea,1,5,2,4,Fair,4,Mobile,Daily,Yes,Which ready road live.
210,Glen Brady,39,Saint Helena,5,3,3,2,Too Expensive,4,Mobile,Daily,Yes,
211,Peter Smith,54,Tunisia,1,10,1,4,Fair,1,Desktop,Daily,No,
212,Sherry Price,36,Belize,4,3,4,5,Too Expensive,5,Mobile,Daily,No,
213,Robert Gomez,18,Colombia,3,5,2,3,Fair,5,Mobile,Daily,No,
214,John Fitzpatrick,20,Kiribati,2,10,3,2,Cheap,1,Mobile,Weekly,Yes,Simply town look out report generation industry.
215,Carl Lee,54,Montenegro,5,3,1,2,Fair,4,Mobile,Daily,Yes,Generation individual pick paper past.
216,Valerie Krueger,31,Poland,1,4,5,3,Too Expensive,4,Mobile,Daily,Yes,
217,James Steele,55,New Caledonia,5,2,4,3,Too Expensive,3,Mobile,Weekly,No,
218,David Williams,35,Northern Mariana Islands,2,5,1,1,Fair,4,Mobile,Daily,No,Race treatment high opportunity and.
219,Rodney Douglas,29,Northern Mariana Islands,3,1,4,5,Too Expensive,3,Mobile,Daily,Yes,
220,Glenn Lozano,45,Mauritania,2,2,5,3,Cheap,3,Mobile,Daily,No,
221,Bradley Lara,52,Kazakhstan,3,9,3,5,Fair,4,Mobile,Daily,Yes,Nice mission small officer.
222,James Nicholson,54,Iceland,5,4,4,1,Cheap,1,Mobile,Daily,Yes,Animal factor major despite close measure.
223,Jeffery Morrison,29,Kyrgyz Republic,4,8,5,5,Fair,5,Smart Speaker,Rarely,No,
224,Laura Stewart,41,British Indian Ocean Territory (Chagos Archipelago),4,9,4,4,Fair,3,Mobile,Daily,No,See student agency research.
225,Tracy Hanson,20,South Africa,5,10,1,5,Too Expensive,5,Mobile,Daily,Yes,
226,Nicole Johnson,42,United States Virgin Islands,2,9,5,4,Fair,1,Mobile,Weekly,Yes,
227,James Munoz,36,Germany,5,1,3,5,Too Expensive,1,Desktop,Weekly,Yes,
228,Jennifer Larson,24,Djibouti,2,7,3,1,Too Expensive,3,Mobile,Weekly,Yes,
229,Amy Stuart,48,Lesotho,1,9,1,5,Too Expensive,4,Desktop,Daily,No,
230,Jim Rogers,49,South Africa,3,4,4,2,Cheap,2,Other,Daily,No,
231,Caitlin Sanders,29,Estonia,3,8,1,5,Fair,3,Mobile,Daily,Yes,Method method memory throw Congress that.
232,Tom Welch,55,Sierra Leone,2,9,1,2,Fair,5,Mobile,Rarely,Yes,Face religious age thousand rich station.
233,Christine Rivers,47,Equatorial Guinea,2,3,1,5,Fair,5,Mobile,Daily,No,
234,Aaron Anderson,45,Senegal,4,2,2,3,Too Expensive,3,Mobile,Daily,Yes,Quality question perhaps.
235,Spencer Nelson,51,Comoros,5,6,3,4,Fair,3,Mobile,Rarely,Yes,
236,Natasha Wagner,35,Swaziland,1,3,2,2,Fair,2,Mobile,Daily,Yes,
237,Phillip Jones,52,Guernsey,1,5,5,3,Too Expensive,4,Mobile,Weekly,No,
238,Adam Moody,21,Liechtenstein,4,7,5,3,Fair,3,Desktop,Monthly,No,
239,Juan Garrison,44,Mali,4,2,1,5,Too Expensive,2,Mobile,Daily,No,
240,Anthony James,29,Isle of Man,2,7,5,2,Fair,1,Desktop,Daily,Yes,
241,Clayton Smith,28,Slovenia,4,10,5,2,Fair,2,Mobile,Weekly,No,
242,Tanner Roberson,41,Philippines,2,5,1,4,Fair,3,Mobile,Weekly,Yes,
243,Timothy Hodges,26,Tajikistan,4,8,5,2,Fair,4,Mobile,Daily,Yes,
244,Holly Calderon,22,Italy,3,2,5,5,Too Expensive,5,Mobile,Daily,Yes,
245,Chad Washington,42,Saint Kitts and Nevis,5,3,5,3,Too Expensive,4,Desktop,Weekly,No,
246,Anthony Clayton,37,Marshall Islands,2,2,1,4,Fair,2,Desktop,Weekly,No,Appear after institution audience see name.
247,Cassandra Jones,46,Turkey,3,6,4,2,Fair,4,Mobile,Daily,Yes,
248,Veronica Yang,57,Turkmenistan,2,5,5,3,Fair,1,Mobile,Weekly,Yes,
249,Thomas Davenport,23,Micronesia,1,10,1,5,Too Expensive,4,Other,Daily,No,
250,Justin Davis,29,Vanuatu,2,10,2,2,Too Expensive,2,Other,Daily,No,
251,Christopher Perez,34,Puerto Rico,2,6,2,1,Too Expensive,3,Mobile,Weekly,Yes,
252,Megan Ford,20,Lao People's Democratic Republic,1,7,1,1,Fair,2,Mobile,Daily,No,Newspaper campaign station chair.
253,Steven Deleon,28,Moldova,5,3,1,5,Fair,1,Desktop,Daily,Yes,
254,Andrea James,51,Italy,4,4,4,1,Fair,1,Desktop,Daily,Yes,
255,Jerry King,38,Egypt,3,3,5,1,Too Expensive,2,Desktop,Daily,Yes,
256,Nichole Medina,36,Jersey,5,9,1,2,Fair,1,Mobile,Weekly,No,
257,Catherine Baker,30,Comoros,1,0,4,2,Cheap,3,Desktop,Weekly,Yes,
258,Michaela Roman,39,Senegal,5,5,3,2,Fair,1,Mobile,Weekly,No,
259,Alex Collins,47,Moldova,5,9,1,3,Fair,2,Mobile,Daily,Yes,
260,William Alexander,28,Norway,5,0,2,5,Fair,1,Mobile,Daily,Yes,
261,Yvonne Ryan,47,Morocco,1,6,5,3,Fair,2,Mobile,Daily,Yes,
262,Kristen Ibarra,24,Haiti,2,3,4,3,Too Expensive,2,Mobile,Daily,Yes,
263,Breanna Morrison,37,Mongolia,5,3,3,5,Fair,2,Smart Speaker,Daily,Yes,
264,James Berry,52,New Zealand,4,4,1,2,Fair,3,Mobile,Daily,No,Help woman writer wish good positive return.
265,Alexandria Richard,29,Ukraine,3,6,5,4,Fair,5,Desktop,Weekly,No,Else surface argue cup.
266,Erin Callahan,43,Zimbabwe,4,3,1,1,Too Expensive,3,Desktop,Daily,Yes,Law picture few couple price music.
267,Terry Gonzalez,40,Malta,3,5,4,1,Fair,3,Desktop,Weekly,Yes,
268,Amanda Burke,51,British Virgin Islands,2,7,5,2,Fair,2,Mobile,Daily,No,
269,Mr. Larry Wells,52,Latvia,5,8,4,5,Fair,3,Desktop,Weekly,Yes,Book himself his follow else.
270,Dr. April Hunter,37,Afghanistan,5,7,5,4,Fair,1,Desktop,Daily,No,
271,Yolanda Harris,47,Suriname,4,0,3,2,Fair,4,Mobile,Monthly,Yes,
